"record_id","species","decimalLongitude","decimalLatitude","year","basisOfRecord","coordinateUncertaintyInMeters","eventDate","issue"
200,"Crotalus triseriatus",-99.754769,19.108565,2017,"HUMAN_OBSERVATION",206,"2017-07-30T00:01:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
202,"Crotalus triseriatus",-99.749974,19.399989,2020,"HUMAN_OBSERVATION",30580,"2020-05-06T15:51:56","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
203,"Crotalus triseriatus",-99.747609,19.200666,2013,"HUMAN_OBSERVATION",486,"2013-08-17T12:22:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
204,"Crotalus triseriatus",-99.740496,19.4498,2017,"HUMAN_OBSERVATION",31,"2017-02-15T15:25:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
205,"Crotalus triseriatus",-99.736506,19.368885,2020,"HUMAN_OBSERVATION",528,"2020-06-26T10:11:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
207,"Crotalus triseriatus",-99.734294,19.167363,2013,"HUMAN_OBSERVATION",31,"2013-07-04T12:30:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
208,"Crotalus triseriatus",-99.724083,19.230122,2013,"HUMAN_OBSERVATION",122,"2013-08-17T12:17:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
209,"Crotalus triseriatus",-99.721667,19.323611,1965,"PRESERVED_SPECIMEN",,"1965-09-01T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
210,"Crotalus triseriatus",-99.718611,20.959444,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY"
211,"Crotalus triseriatus",-99.713836,19.228119,2019,"HUMAN_OBSERVATION",60,"2019-10-19T21:21:27","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
212,"Crotalus triseriatus",-99.708908,19.31046,2019,"HUMAN_OBSERVATION",61,"2019-05-26T10:48:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
215,"Crotalus triseriatus",-99.705,19.3998,1967,"PRESERVED_SPECIMEN",,"1967-08-01T00:00:00","COORDINATE_ROUNDED;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
221,"Crotalus triseriatus",-99.704949,19.311787,2019,"HUMAN_OBSERVATION",61,"2019-05-04T15:38:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
224,"Crotalus triseriatus",-99.695175,19.156389,2020,"HUMAN_OBSERVATION",10,"2020-08-13T12:06:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
225,"Crotalus triseriatus",-99.694444,19.408056,1998,"PRESERVED_SPECIMEN",,"1998-09-14T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION"
226,"Crotalus triseriatus",-99.693936,19.333448,2019,"HUMAN_OBSERVATION",66,"2019-04-28T14:34:44","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
227,"Crotalus triseriatus",-99.691667,17.575,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE"
231,"Crotalus triseriatus",-99.690982,19.311286,2019,"HUMAN_OBSERVATION",6,"2019-09-05T13:20:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
